Begin training
Epoch:1, training loss:0.6235650777816772, test loss:0.6679315567016602, test acc:0.7987045341305431
Epoch:2, training loss:0.2247471958398819, test loss:0.6609757542610168, test acc:0.8241155954160438
Epoch:3, training loss:0.12054264545440674, test loss:0.6188933849334717, test acc:0.8355754857997011
Epoch:4, training loss:0.15839819610118866, test loss:0.5776681303977966, test acc:0.8465371200797209
Epoch:5, training loss:0.2667289674282074, test loss:0.5176259875297546, test acc:0.8565022421524664
Epoch:6, training loss:0.09515020251274109, test loss:0.5374414324760437, test acc:0.8584952665670155
Epoch:7, training loss:0.10500172525644302, test loss:0.5035317540168762, test acc:0.8694569008470354
Epoch:8, training loss:0.1920546442270279, test loss:0.5558685064315796, test acc:0.85949177877429
Epoch:9, training loss:0.061484452337026596, test loss:0.5572295784950256, test acc:0.8604882909815645
Epoch:10, training loss:0.04592174291610718, test loss:0.5183677673339844, test acc:0.8654708520179372
Epoch:11, training loss:0.14821280539035797, test loss:0.6067467331886292, test acc:0.8525161933233683
Epoch:12, training loss:0.07614491134881973, test loss:0.630740761756897, test acc:0.8550074738415545
Epoch:13, training loss:0.0662531778216362, test loss:0.6486902832984924, test acc:0.8565022421524664
Epoch:14, training loss:0.12060157209634781, test loss:0.607925295829773, test acc:0.85949177877429
Epoch:15, training loss:0.038163069635629654, test loss:0.5594472885131836, test acc:0.8709516691579472
Epoch:16, training loss:0.029350362718105316, test loss:0.63450026512146, test acc:0.8599900348779272
Epoch:17, training loss:0.06898264586925507, test loss:0.5680110454559326, test acc:0.8674638764324863
Epoch:18, training loss:0.0447230227291584, test loss:0.5667006373405457, test acc:0.8694569008470354
Epoch:19, training loss:0.09798425436019897, test loss:0.5733426213264465, test acc:0.8694569008470354
Epoch:20, training loss:0.09448909014463425, test loss:0.6733488440513611, test acc:0.85401096163428
Epoch:21, training loss:0.03892320767045021, test loss:0.5372170209884644, test acc:0.8729446935724963
Epoch:22, training loss:0.1107071042060852, test loss:0.6074160933494568, test acc:0.866965620328849
Epoch:23, training loss:0.024911487475037575, test loss:0.7085590958595276, test acc:0.8570004982561036
Epoch:24, training loss:0.05052247643470764, test loss:0.7191858291625977, test acc:0.8579970104633782
Epoch:25, training loss:0.042818617075681686, test loss:0.6235319972038269, test acc:0.8689586447433981
Epoch:26, training loss:0.0369165875017643, test loss:0.6905437111854553, test acc:0.8649725959143
Epoch:27, training loss:0.04894927516579628, test loss:0.7452989816665649, test acc:0.8560039860488291
Epoch:28, training loss:0.07257813960313797, test loss:0.6210257411003113, test acc:0.8654708520179372
Epoch:29, training loss:0.012124042958021164, test loss:0.6655996441841125, test acc:0.8629795714997509
Epoch:30, training loss:0.06969404220581055, test loss:0.6919522285461426, test acc:0.8684603886397608
Epoch:31, training loss:0.02275347150862217, test loss:0.7577470541000366, test acc:0.8584952665670155
Epoch:32, training loss:0.053045809268951416, test loss:0.737411618232727, test acc:0.8555057299451918
Epoch:33, training loss:0.01119069755077362, test loss:0.7726279497146606, test acc:0.8624813153961136
Epoch:34, training loss:0.03835335373878479, test loss:0.6951294541358948, test acc:0.8644743398106627
Epoch:35, training loss:0.02577832341194153, test loss:0.7384690046310425, test acc:0.861484803188839
Epoch:36, training loss:0.04033778980374336, test loss:0.7095300555229187, test acc:0.8649725959143
Epoch:37, training loss:0.040305815637111664, test loss:0.7460960745811462, test acc:0.8654708520179372
Epoch:38, training loss:0.07433826476335526, test loss:0.7569361925125122, test acc:0.8574987543597409
Epoch:39, training loss:0.05225839093327522, test loss:0.7790618538856506, test acc:0.866965620328849
Epoch:40, training loss:0.028290463611483574, test loss:0.8198568820953369, test acc:0.8729446935724963
Epoch:41, training loss:0.08989294618368149, test loss:0.856359601020813, test acc:0.8584952665670155
Epoch:42, training loss:0.02571260929107666, test loss:0.826812744140625, test acc:0.866965620328849
Epoch:43, training loss:0.09171644598245621, test loss:0.9791420698165894, test acc:0.8565022421524664
Epoch:44, training loss:0.0536210834980011, test loss:0.9071456789970398, test acc:0.8639760837070254
Epoch:45, training loss:0.01231994479894638, test loss:0.9310669302940369, test acc:0.8530144494270054
Epoch:46, training loss:0.00986387301236391, test loss:1.0275009870529175, test acc:0.8515196811160937
Epoch:47, training loss:0.07813363522291183, test loss:0.7930560111999512, test acc:0.8639760837070254
Epoch:48, training loss:0.04406699910759926, test loss:0.8919034600257874, test acc:0.8570004982561036
Epoch:49, training loss:0.04329647496342659, test loss:0.9269518852233887, test acc:0.8599900348779272
Epoch:50, training loss:0.02889295481145382, test loss:0.9085226058959961, test acc:0.8674638764324863
Epoch:51, training loss:0.010654446668922901, test loss:0.9086583256721497, test acc:0.8634778276033881
Epoch:52, training loss:0.038649771362543106, test loss:0.9092308878898621, test acc:0.861484803188839
Epoch:53, training loss:0.039525192230939865, test loss:1.1113238334655762, test acc:0.8490284005979073
Epoch:54, training loss:0.07700211554765701, test loss:0.9651378393173218, test acc:0.8574987543597409
Epoch:55, training loss:0.09616222977638245, test loss:1.250795602798462, test acc:0.8375685102142502
Epoch:56, training loss:0.005552437622100115, test loss:0.9509428143501282, test acc:0.8570004982561036
Epoch:57, training loss:0.023124799132347107, test loss:0.9019876718521118, test acc:0.8704534130543099
Epoch:58, training loss:0.026215413585305214, test loss:0.9072747230529785, test acc:0.8659691081215745
Epoch:59, training loss:0.026301026344299316, test loss:1.1398255825042725, test acc:0.8550074738415545
Epoch:60, training loss:0.005066449288278818, test loss:0.9536628127098083, test acc:0.8639760837070254
Epoch:61, training loss:0.01101131085306406, test loss:1.0053120851516724, test acc:0.861484803188839
Epoch:62, training loss:0.01824340783059597, test loss:1.0911420583724976, test acc:0.8634778276033881
Epoch:63, training loss:0.01766003854572773, test loss:1.0569485425949097, test acc:0.8619830592924763
Epoch:64, training loss:0.017127424478530884, test loss:1.1614174842834473, test acc:0.8550074738415545
Epoch:65, training loss:0.01976388692855835, test loss:1.0754616260528564, test acc:0.85949177877429
Epoch:66, training loss:0.02612406015396118, test loss:1.0593888759613037, test acc:0.8719481813652217
Epoch:67, training loss:0.0014944355934858322, test loss:1.2148377895355225, test acc:0.8505231689088192
Epoch:68, training loss:0.006352679338306189, test loss:1.1997480392456055, test acc:0.8629795714997509
Epoch:69, training loss:0.049001771956682205, test loss:1.0449345111846924, test acc:0.861484803188839
Epoch:70, training loss:0.004275118932127953, test loss:1.2430764436721802, test acc:0.85401096163428
Epoch:71, training loss:0.0023764222860336304, test loss:1.2974413633346558, test acc:0.84853014449427
Epoch:72, training loss:0.00718795508146286, test loss:1.185289740562439, test acc:0.8639760837070254
Epoch:73, training loss:0.07578501850366592, test loss:1.354114055633545, test acc:0.8465371200797209
Epoch:74, training loss:0.02167334407567978, test loss:1.4129693508148193, test acc:0.8470353761833582
Epoch:75, training loss:0.05301579460501671, test loss:1.4156514406204224, test acc:0.8525161933233683
Epoch:76, training loss:0.003875505179166794, test loss:1.165191411972046, test acc:0.8659691081215745
Epoch:77, training loss:0.0012912334641441703, test loss:1.331190824508667, test acc:0.8525161933233683
Epoch:78, training loss:0.00592593802139163, test loss:1.4163596630096436, test acc:0.8545092177379173
Epoch:79, training loss:0.017204727977514267, test loss:1.3039357662200928, test acc:0.8535127055306427
Epoch:80, training loss:0.044833045452833176, test loss:1.4866490364074707, test acc:0.841056302939711
Epoch:81, training loss:0.003115293802693486, test loss:1.3383883237838745, test acc:0.8565022421524664
Epoch:82, training loss:0.00096247618785128, test loss:1.296226978302002, test acc:0.866965620328849
Epoch:83, training loss:0.005745226051658392, test loss:1.2933666706085205, test acc:0.8644743398106627
Epoch:84, training loss:0.0106996214017272, test loss:1.3595105409622192, test acc:0.8649725959143
Epoch:85, training loss:0.0021800047252327204, test loss:1.3351364135742188, test acc:0.8604882909815645
