Begin training
Epoch:1, training loss:0.7043366432189941, test loss:0.7571129202842712, test acc:0.7423
Epoch:2, training loss:0.23996368050575256, test loss:0.5121347904205322, test acc:0.8333
Epoch:3, training loss:0.34395620226860046, test loss:0.42182809114456177, test acc:0.8672
Epoch:4, training loss:0.22980897128582, test loss:0.5506854057312012, test acc:0.8108
Epoch:5, training loss:0.14698857069015503, test loss:0.4083593487739563, test acc:0.8657
Epoch:6, training loss:0.1491381675004959, test loss:0.3240850865840912, test acc:0.8938
Epoch:7, training loss:0.0826280489563942, test loss:0.33215782046318054, test acc:0.8946
Epoch:8, training loss:0.17049039900302887, test loss:0.4102345108985901, test acc:0.8725
Epoch:9, training loss:0.07431844621896744, test loss:0.34965112805366516, test acc:0.8876
Epoch:10, training loss:0.0742831602692604, test loss:0.4798220694065094, test acc:0.8607
Epoch:11, training loss:0.04108583554625511, test loss:0.34229278564453125, test acc:0.9021
Epoch:12, training loss:0.07114734500646591, test loss:0.35111650824546814, test acc:0.9013
Epoch:13, training loss:0.11851557344198227, test loss:0.4019041657447815, test acc:0.8874
Epoch:14, training loss:0.014531445689499378, test loss:0.40469393134117126, test acc:0.8987
Epoch:15, training loss:0.08613426238298416, test loss:0.4081230163574219, test acc:0.8922
Epoch:16, training loss:0.05273214355111122, test loss:0.42870426177978516, test acc:0.8927
Epoch:17, training loss:0.025635847821831703, test loss:0.4850691854953766, test acc:0.8885
Epoch:18, training loss:0.02527974732220173, test loss:0.41830572485923767, test acc:0.8992
Epoch:19, training loss:0.026953207328915596, test loss:0.5346686244010925, test acc:0.8893
Epoch:20, training loss:0.04830403998494148, test loss:0.6329545378684998, test acc:0.865
Epoch:21, training loss:0.01664823107421398, test loss:0.48758140206336975, test acc:0.897
Epoch:22, training loss:0.022273046895861626, test loss:0.4586969316005707, test acc:0.9008
Epoch:23, training loss:0.03344385698437691, test loss:0.7354440689086914, test acc:0.8598
Epoch:24, training loss:0.0063934712670743465, test loss:0.5171398520469666, test acc:0.9053
Epoch:25, training loss:0.015193508006632328, test loss:0.5051167011260986, test acc:0.9015
Epoch:26, training loss:0.039139874279499054, test loss:0.45672306418418884, test acc:0.9129
Epoch:27, training loss:0.012322906404733658, test loss:0.5646888613700867, test acc:0.8948
Epoch:28, training loss:0.011977707035839558, test loss:0.7715151309967041, test acc:0.8668
Epoch:29, training loss:0.0037850888911634684, test loss:0.5497957468032837, test acc:0.9058
Epoch:30, training loss:0.01423994917422533, test loss:0.5812944769859314, test acc:0.8964
Epoch:31, training loss:0.001889095059596002, test loss:0.5564996600151062, test acc:0.8994
Epoch:32, training loss:0.018934963271021843, test loss:0.7787627577781677, test acc:0.8766
Epoch:33, training loss:0.03883741796016693, test loss:0.5197809338569641, test acc:0.9079
Epoch:34, training loss:0.002987842308357358, test loss:0.5128470063209534, test acc:0.9131
Epoch:35, training loss:0.03854239359498024, test loss:0.6949016451835632, test acc:0.8855
Epoch:36, training loss:0.0022852595429867506, test loss:0.6881692409515381, test acc:0.8977
Epoch:37, training loss:0.0012300265952944756, test loss:0.6737474203109741, test acc:0.8977
Epoch:38, training loss:0.0006332087214104831, test loss:0.9550876021385193, test acc:0.8714
Epoch:39, training loss:0.0003579690237529576, test loss:0.7608704566955566, test acc:0.8948
Epoch:40, training loss:0.002109888009727001, test loss:0.7884449362754822, test acc:0.8771
Epoch:41, training loss:0.0005006305291317403, test loss:0.7890005707740784, test acc:0.8939
Epoch:42, training loss:0.0012596012093126774, test loss:0.7183933258056641, test acc:0.9003
Epoch:43, training loss:0.002070232992991805, test loss:0.8468016982078552, test acc:0.8929
Epoch:44, training loss:0.009552501142024994, test loss:0.9031491279602051, test acc:0.8819
Epoch:45, training loss:0.0012558882590383291, test loss:1.0991908311843872, test acc:0.8712
Epoch:46, training loss:0.004602854605764151, test loss:0.7232280373573303, test acc:0.8996
