Begin training
Epoch:1, training loss:2.1844429969787598, test loss:2.243342399597168, test acc:0.2106
Epoch:2, training loss:1.684006929397583, test loss:1.8552817106246948, test acc:0.4151
Epoch:3, training loss:1.101894736289978, test loss:1.344886064529419, test acc:0.607
Epoch:4, training loss:0.9522883892059326, test loss:0.9960881471633911, test acc:0.7067
Epoch:5, training loss:0.6011187434196472, test loss:0.9065489172935486, test acc:0.6934
Epoch:6, training loss:0.48598235845565796, test loss:0.804395854473114, test acc:0.7326
Epoch:7, training loss:0.5231203436851501, test loss:0.7409176230430603, test acc:0.7544
Epoch:8, training loss:0.29415902495384216, test loss:0.7192065119743347, test acc:0.7698
Epoch:9, training loss:0.32758408784866333, test loss:0.7192296385765076, test acc:0.7646
Epoch:10, training loss:0.4652692377567291, test loss:0.7238146662712097, test acc:0.7644
Epoch:11, training loss:0.3209104537963867, test loss:0.6811403632164001, test acc:0.7835
Epoch:12, training loss:0.27893325686454773, test loss:0.6192994117736816, test acc:0.8006
Epoch:13, training loss:0.304576575756073, test loss:0.6278982162475586, test acc:0.7977
Epoch:14, training loss:0.25678199529647827, test loss:0.5488329529762268, test acc:0.8275
Epoch:15, training loss:0.29674863815307617, test loss:0.5582987666130066, test acc:0.8164
Epoch:16, training loss:0.2295100837945938, test loss:0.5722461938858032, test acc:0.8103
Epoch:17, training loss:0.25127652287483215, test loss:0.5201750993728638, test acc:0.8392
Epoch:18, training loss:0.2038881927728653, test loss:0.5106528401374817, test acc:0.837
Epoch:19, training loss:0.2549034059047699, test loss:0.5082793235778809, test acc:0.8396
Epoch:20, training loss:0.24196851253509521, test loss:0.48642101883888245, test acc:0.8381
Epoch:21, training loss:0.2512175738811493, test loss:0.5142009258270264, test acc:0.8298
Epoch:22, training loss:0.36360153555870056, test loss:0.4752388894557953, test acc:0.8449
Epoch:23, training loss:0.20571205019950867, test loss:0.513340175151825, test acc:0.833
Epoch:24, training loss:0.29534509778022766, test loss:0.5444850325584412, test acc:0.8177
Epoch:25, training loss:0.08912507444620132, test loss:0.4521900713443756, test acc:0.8591
Epoch:26, training loss:0.18244890868663788, test loss:0.44022828340530396, test acc:0.8536
Epoch:27, training loss:0.08989289402961731, test loss:0.4371086061000824, test acc:0.8566
Epoch:28, training loss:0.07749725878238678, test loss:0.4487132728099823, test acc:0.8507
Epoch:29, training loss:0.18641535937786102, test loss:0.41103729605674744, test acc:0.8651
Epoch:30, training loss:0.23212158679962158, test loss:0.4527958333492279, test acc:0.8579
Epoch:31, training loss:0.2070881575345993, test loss:0.4661690294742584, test acc:0.8493
Epoch:32, training loss:0.13568075001239777, test loss:0.4157726466655731, test acc:0.8632
Epoch:33, training loss:0.10854598134756088, test loss:0.39967402815818787, test acc:0.8731
Epoch:34, training loss:0.10791460424661636, test loss:0.45703521370887756, test acc:0.8514
Epoch:35, training loss:0.17708048224449158, test loss:0.43571797013282776, test acc:0.8656
Epoch:36, training loss:0.1915416717529297, test loss:0.4265455901622772, test acc:0.8656
Epoch:37, training loss:0.09696196764707565, test loss:0.3895857036113739, test acc:0.8761
Epoch:38, training loss:0.13212180137634277, test loss:0.35715997219085693, test acc:0.8832
Epoch:39, training loss:0.13054481148719788, test loss:0.3535497784614563, test acc:0.8912
Epoch:40, training loss:0.11197119951248169, test loss:0.38374635577201843, test acc:0.8764
Epoch:41, training loss:0.11428215354681015, test loss:0.3652823567390442, test acc:0.8836
Epoch:42, training loss:0.048952557146549225, test loss:0.3700668513774872, test acc:0.8889
Epoch:43, training loss:0.08277888596057892, test loss:0.3661440312862396, test acc:0.8839
Epoch:44, training loss:0.07171756774187088, test loss:0.3610391914844513, test acc:0.8863
Epoch:45, training loss:0.0757358968257904, test loss:0.395978182554245, test acc:0.8724
Epoch:46, training loss:0.16139116883277893, test loss:0.34157684445381165, test acc:0.8933
Epoch:47, training loss:0.040513474494218826, test loss:0.3734064996242523, test acc:0.8847
Epoch:48, training loss:0.10743802040815353, test loss:0.3958664834499359, test acc:0.8753
Epoch:49, training loss:0.1559431403875351, test loss:0.3894657790660858, test acc:0.8801
Epoch:50, training loss:0.226590096950531, test loss:0.38361212611198425, test acc:0.8807
Epoch:51, training loss:0.09122674912214279, test loss:0.37695661187171936, test acc:0.8842
Epoch:52, training loss:0.11382120102643967, test loss:0.3683723509311676, test acc:0.8853
Epoch:53, training loss:0.0884765237569809, test loss:0.3925471901893616, test acc:0.8887
Epoch:54, training loss:0.051702048629522324, test loss:0.41213545203208923, test acc:0.8779
Epoch:55, training loss:0.07608996331691742, test loss:0.4106556475162506, test acc:0.8765
Epoch:56, training loss:0.0645483136177063, test loss:0.43813443183898926, test acc:0.866
Epoch:57, training loss:0.061663709580898285, test loss:0.3495332598686218, test acc:0.8931
Epoch:58, training loss:0.03303784132003784, test loss:0.40773043036460876, test acc:0.8827
Epoch:59, training loss:0.14465704560279846, test loss:0.42771339416503906, test acc:0.8735
Epoch:60, training loss:0.12375391274690628, test loss:0.3940574526786804, test acc:0.8793
Epoch:61, training loss:0.11815618723630905, test loss:0.48090729117393494, test acc:0.8629
Epoch:62, training loss:0.11789415031671524, test loss:0.3972388505935669, test acc:0.8838
Epoch:63, training loss:0.0403963103890419, test loss:0.4025889039039612, test acc:0.8872
Epoch:64, training loss:0.04868358373641968, test loss:0.4061151444911957, test acc:0.8799
Epoch:65, training loss:0.09140913933515549, test loss:0.4017349183559418, test acc:0.8844
Epoch:66, training loss:0.11432234197854996, test loss:0.3774453401565552, test acc:0.8883
Epoch:67, training loss:0.030976517125964165, test loss:0.3781752288341522, test acc:0.8903
Epoch:68, training loss:0.05936295539140701, test loss:0.41002461314201355, test acc:0.8792
Epoch:69, training loss:0.06787557154893875, test loss:0.44985437393188477, test acc:0.8787
Epoch:70, training loss:0.0690692737698555, test loss:0.3771963119506836, test acc:0.8891
Epoch:71, training loss:0.0753222405910492, test loss:0.35349521040916443, test acc:0.8986
Epoch:72, training loss:0.05078176409006119, test loss:0.34409481287002563, test acc:0.9004
Epoch:73, training loss:0.06674914062023163, test loss:0.400649756193161, test acc:0.8855
Epoch:74, training loss:0.10506777465343475, test loss:0.4520606994628906, test acc:0.877
Epoch:75, training loss:0.05907129868865013, test loss:0.3887648284435272, test acc:0.8906
Epoch:76, training loss:0.0746389701962471, test loss:0.4721086621284485, test acc:0.8706
Epoch:77, training loss:0.06780973076820374, test loss:0.41697826981544495, test acc:0.8835
Epoch:78, training loss:0.03178136423230171, test loss:0.4810332953929901, test acc:0.8693
Epoch:79, training loss:0.026996146887540817, test loss:0.3980332911014557, test acc:0.8933
Epoch:80, training loss:0.03434097394347191, test loss:0.4732714295387268, test acc:0.8743
Epoch:81, training loss:0.03908950090408325, test loss:0.36874228715896606, test acc:0.8997
Epoch:82, training loss:0.06661047041416168, test loss:0.37682485580444336, test acc:0.9001
Epoch:83, training loss:0.0290362611413002, test loss:0.39334818720817566, test acc:0.8946
Epoch:84, training loss:0.030721036717295647, test loss:0.3688156306743622, test acc:0.9011
Epoch:85, training loss:0.028558867052197456, test loss:0.5019785761833191, test acc:0.8776
Epoch:86, training loss:0.052161864936351776, test loss:0.4098597466945648, test acc:0.8885
Epoch:87, training loss:0.06968946009874344, test loss:0.41615423560142517, test acc:0.8881
