Begin training
Begin training
Epoch:1, training loss:0.3010951280593872, test loss:0.44740787148475647, test acc:0.8684603886397608
Epoch:2, training loss:0.09659548848867416, test loss:0.4837362468242645, test acc:0.8754359740906826
Epoch:3, training loss:0.052443694323301315, test loss:0.5731350779533386, test acc:0.8704534130543099
Epoch:4, training loss:0.14058856666088104, test loss:0.5657105445861816, test acc:0.8545092177379173
Epoch:5, training loss:0.12434763461351395, test loss:0.49648165702819824, test acc:0.8868958644743398
Epoch:6, training loss:0.12857310473918915, test loss:0.5708501935005188, test acc:0.8739412057797707
Epoch:7, training loss:0.035627786070108414, test loss:0.828859806060791, test acc:0.8525161933233683
Epoch:8, training loss:0.15104712545871735, test loss:0.8149077892303467, test acc:0.8525161933233683
Epoch:9, training loss:0.04412522912025452, test loss:0.9409735202789307, test acc:0.8525161933233683
Epoch:10, training loss:0.014197692275047302, test loss:0.8435143828392029, test acc:0.8584952665670155
Epoch:11, training loss:0.0814218744635582, test loss:0.9651229381561279, test acc:0.8579970104633782
Epoch:12, training loss:0.11186549067497253, test loss:1.1105713844299316, test acc:0.8490284005979073
Epoch:13, training loss:0.03711478039622307, test loss:1.06950044631958, test acc:0.852017937219731
Epoch:14, training loss:0.0036051480565220118, test loss:0.9623377323150635, test acc:0.8714499252615845
Epoch:15, training loss:0.00390831520780921, test loss:1.0947043895721436, test acc:0.8450423517688092
Epoch:16, training loss:0.05539308860898018, test loss:1.1670547723770142, test acc:0.8609865470852018
Epoch:17, training loss:0.002150764688849449, test loss:1.164991021156311, test acc:0.8674638764324863
Epoch:18, training loss:0.011359154246747494, test loss:1.3729239702224731, test acc:0.8599900348779272
Epoch:19, training loss:0.008190584369003773, test loss:1.5060970783233643, test acc:0.8639760837070254
Epoch:20, training loss:0.0011046851286664605, test loss:1.675601601600647, test acc:0.8664673642252118
Epoch:21, training loss:0.04023798182606697, test loss:1.6435343027114868, test acc:0.8470353761833582
Epoch:22, training loss:0.0002421069220872596, test loss:1.7006657123565674, test acc:0.8535127055306427
Epoch:23, training loss:0.0002482646668795496, test loss:1.9240843057632446, test acc:0.8445440956651719
Epoch:24, training loss:0.0004574457707349211, test loss:1.7992054224014282, test acc:0.872446437468859
Epoch:25, training loss:0.06763014942407608, test loss:2.0050923824310303, test acc:0.8584952665670155
Epoch:26, training loss:0.01026684045791626, test loss:2.0181798934936523, test acc:0.85949177877429
Epoch:27, training loss:0.0021094472613185644, test loss:1.9277331829071045, test acc:0.8659691081215745
Epoch:28, training loss:0.0003241896629333496, test loss:2.1559722423553467, test acc:0.861484803188839
